"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","973","Checkout page is displayed after proceeding from cart","","2026-08-15","passed","2026-08-15","","Checkout functionality","Checkout page is displayed after proceeding from cart",""
"","334","Request a user that does not exist returns 404","","2026-08-15","passed","2026-08-15","","ReqRes API — Users and Authentication","Request a user that does not exist returns 404",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","761","User cannot log in with empty username","","2026-08-15","passed","2026-08-15","","Login functionality","User cannot log in with empty username",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1083","Checkout shows error when first name is missing","","2026-08-15","passed","2026-08-15","","Checkout functionality","Checkout shows error when first name is missing",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1034","Added product appears in cart","","2026-08-15","passed","2026-08-15","","Cart functionality","Added product appears in cart",""
"","200","Login without password returns 400 with error message","","2026-08-15","passed","2026-08-15","","ReqRes API — Users and Authentication","Login without password returns 400 with error message",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1170","User can complete a full checkout","","2026-08-15","passed","2026-08-15","","Checkout functionality","User can complete a full checkout",""
"","332","Delete a user successfully","","2026-08-15","passed","2026-08-15","","ReqRes API — Users and Authentication","Delete a user successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","825","Inventory page displays correct number of products","","2026-08-15","passed","2026-08-15","","Inventory page functionality","Inventory page displays correct number of products",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","926","Products can be sorted alphabetically ascending","","2026-08-15","passed","2026-08-15","","Inventory page functionality","Products can be sorted alphabetically ascending",""
"","204","Successful login returns a token","","2026-08-15","passed","2026-08-15","","ReqRes API — Users and Authentication","Successful login returns a token",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","5861","Performance glitch user can log in successfully","","2026-08-15","passed","2026-08-15","","Login functionality","Performance glitch user can log in successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","913","Products can be sorted alphabetically descending","","2026-08-15","passed","2026-08-15","","Inventory page functionality","Products can be sorted alphabetically descending",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","891","Products can be sorted by price high to low","","2026-08-15","passed","2026-08-15","","Inventory page functionality","Products can be sorted by price high to low",""
"","238","Update an existing user successfully","","2026-08-15","passed","2026-08-15","","ReqRes API — Users and Authentication","Update an existing user successfully",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1108","Checkout shows error when postal code is missing","","2026-08-15","passed","2026-08-15","","Checkout functionality","Checkout shows error when postal code is missing",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","914","Products can be sorted by price low to high","","2026-08-15","passed","2026-08-15","","Inventory page functionality","Products can be sorted by price low to high",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","781","User cannot log in with empty password","","2026-08-15","passed","2026-08-15","","Login functionality","User cannot log in with empty password",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","848","Standard user lands on inventory page after login","","2026-08-15","passed","2026-08-15","","Login functionality","Standard user lands on inventory page after login",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1054","User can continue shopping from cart","","2026-08-15","passed","2026-08-15","","Cart functionality","User can continue shopping from cart",""
"","339","Successful registration returns an ID and token","","2026-08-15","passed","2026-08-15","","ReqRes API — Users and Authentication","Successful registration returns an ID and token",""
"","402","Retrieve a single user by ID successfully","","2026-08-15","passed","2026-08-15","","ReqRes API — Users and Authentication","Retrieve a single user by ID successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","988","Adding multiple products updates the cart badge count","","2026-08-15","passed","2026-08-15","","Inventory page functionality","Adding multiple products updates the cart badge count",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1320","User can navigate back to products after completing order","","2026-08-15","passed","2026-08-15","","Checkout functionality","User can navigate back to products after completing order",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1090","Checkout shows error when last name is missing","","2026-08-15","passed","2026-08-15","","Checkout functionality","Checkout shows error when last name is missing",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","953","Cart displays checkout button","","2026-08-15","passed","2026-08-15","","Cart functionality","Cart displays checkout button",""
"","391","Create a new user successfully","","2026-08-15","passed","2026-08-15","","ReqRes API — Users and Authentication","Create a new user successfully",""
"  As a logged in user
  I want to browse and interact with the product inventory
  So that I can find and add products to my cart","908","Adding a product updates the cart badge","","2026-08-15","passed","2026-08-15","","Inventory page functionality","Adding a product updates the cart badge",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","2615","User can navigate to the cart","","2026-08-15","passed","2026-08-15","","Cart functionality","User can navigate to the cart",""
"  As a logged in user with items in my cart
  I want to complete the checkout process
  So that I can place an order","1159","Overview page displays correct order summary","","2026-08-15","passed","2026-08-15","","Checkout functionality","Overview page displays correct order summary",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","789","Locked out user cannot log in","","2026-08-15","passed","2026-08-15","","Login functionality","Locked out user cannot log in",""
"  As a logged in user
  I want to manage items in my shopping cart
  So that I can review and proceed to purchase","1004","User can remove a product from the cart","","2026-08-15","passed","2026-08-15","","Cart functionality","User can remove a product from the cart",""
"","383","Retrieve second page of users successfully","","2026-08-15","passed","2026-08-15","","ReqRes API — Users and Authentication","Retrieve second page of users successfully",""
"","4056","Retrieve first page of users successfully","","2026-08-15","passed","2026-08-15","","ReqRes API — Users and Authentication","Retrieve first page of users successfully",""
"  As a user of the SauceDemo application
  I want to be able to log in with valid credentials
  So that I can access the product inventory","725","Error message is displayed when both fields are empty","","2026-08-15","passed","2026-08-15","","Login functionality","Error message is displayed when both fields are empty",""
