"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Cart functionality","1","0","User can navigate to the cart","0"
"0","","0","ReqRes API — Users and Authentication","1","0","Retrieve a single user by ID successfully","0"
"0","","0","ReqRes API — Users and Authentication","1","0","Retrieve first page of users successfully","0"
"0","","0","Inventory page functionality","1","0","Inventory page displays correct number of products","0"
"0","","0","ReqRes API — Users and Authentication","1","0","Successful login returns a token","0"
"0","","0","Login functionality","1","0","Locked out user cannot log in","0"
"0","","0","ReqRes API — Users and Authentication","1","0","Delete a user successfully","0"
"0","","0","Checkout functionality","1","0","Checkout page is displayed after proceeding from cart","0"
"0","","0","Inventory page functionality","1","0","Adding a product updates the cart badge","0"
"0","","0","ReqRes API — Users and Authentication","1","0","Create a new user successfully","0"
"0","","0","Cart functionality","1","0","Added product appears in cart","0"
"0","","0","Checkout functionality","1","0","User can complete a full checkout","0"
"0","","0","Login functionality","1","0","Standard user can log in successfully","0"
